home_team,elo,form_5,avg_goals_5,avg_conceded_5,avg_goal_diff_5
Abkhazia,1525.609994818194,8.0,1.0,0.8,0.2
Afghanistan,1285.1170950396945,5.0,0.4,0.8,-0.4
Albania,1577.9817137586308,7.0,1.8,1.2,0.6
Alderney,1184.2529711818024,3.0,1.2,3.8,-2.6
Algeria,1777.782346696386,13.0,1.8,0.4,1.4
American Samoa,1251.21700566325,0.0,0.2,9.2,-9.0
Andalusia,1563.4444094514347,11.0,2.2,1.2,1.0
Andorra,1195.1576299616304,1.0,0.2,2.0,-1.8
Angola,1539.3621063929158,5.0,1.2,1.6,-0.4
Anguilla,1138.532628290411,3.0,0.6,2.4,-1.8
Antigua and Barbuda,1432.684992904508,4.0,0.8,1.6,-0.8
Arameans Suryoye,1511.0814474927338,3.0,1.0,0.0,1.0
Argentina,1995.626709001892,13.0,1.6,0.2,1.4
Armenia,1484.0492855776654,6.0,1.2,2.0,-0.8
Artsakh,1518.630701348733,9.0,4.4,1.4,3.0
Aruba,1289.2838778958817,1.0,1.2,2.2,-1.0
Australia,1764.2544291454494,13.0,1.4,0.2,1.2
Austria,1782.4736814613036,10.0,1.8,1.2,0.6
Aymara,1489.71225631668,0.0,1.0,3.0,-2.0
Azerbaijan,1437.0899636811807,3.0,1.4,2.2,-0.8
Bahamas,1374.093122314612,4.0,0.8,3.0,-2.2
Bahrain,1537.36514315674,3.0,0.8,2.0,-1.2
Bangladesh,1210.1421291474642,3.0,0.8,2.2,-1.4
Barawa,1488.2932911008704,3.0,2.0,3.0,-1.0
Barbados,1367.4482446315176,9.0,1.8,1.0,0.8
Basque Country,1704.60548405924,11.0,2.0,1.0,1.0
Belarus,1567.1945407634532,3.0,0.4,2.0,-1.6
Belgium,1885.037900356116,8.0,1.4,0.6,0.8
Belize,1374.7936040622524,7.0,1.4,0.8,0.6
Benin,1521.4235104024367,10.0,1.8,1.4,0.4
Bermuda,1385.8467265320478,1.0,0.8,3.8,-3.0
Bhutan,1107.1630518946235,0.0,0.2,4.4,-4.2
Biafra,1500.2982231163155,3.0,0.5,0.5,0.0
Bolivia,1579.385777074447,1.0,0.2,2.0,-1.8
